# Written on 11Apr2024 at 15:14:19 
# Input file comment: k-mesh for interpolation of KRrBr2
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)      EnergyDer_x       EnergyDer_y       EnergyDer_z
         1   0.000000000       0.000000000       0.000000000       1.002355623     -0.4965236879E-05 -0.8448468491E-05 -0.1862524322E-04
         1   0.000000000       0.000000000       0.000000000       1.002355669     -0.1086958115E-04  0.7825207984E-05  0.1373407771E-04
         1   0.000000000       0.000000000       0.000000000       1.002355728      0.1918292553E-04  0.5609914602E-05  0.9002178841E-05
         1   0.000000000       0.000000000       0.000000000       2.118911440     -0.6837507279E-05 -0.4986844031E-05 -0.3641168257E-04
         1   0.000000000       0.000000000       0.000000000       2.118911480      0.2479859866E-04  0.4523096122E-05  0.9968038064E-05
         1   0.000000000       0.000000000       0.000000000       2.118911901     -0.1817616279E-04  0.5233559412E-05  0.3220356612E-04
         2 -0.7628742997E-01  0.7628742997E-01 -0.7628742997E-01   1.028275495     -0.1343405017      0.2077411324     -0.3306152908    
         2 -0.7628742997E-01  0.7628742997E-01 -0.7628742997E-01   1.028275742     -0.3141173188      0.2407174270     -0.1178448590    
         2 -0.7628742997E-01  0.7628742997E-01 -0.7628742997E-01   1.047785894     -0.3785183999      0.3785194101     -0.3785200531    
         2 -0.7628742997E-01  0.7628742997E-01 -0.7628742997E-01   2.025513613      0.7539544181     -0.7539555767      0.7539569864    
         2 -0.7628742997E-01  0.7628742997E-01 -0.7628742997E-01   2.085467719      0.2897020075     -0.4301100439E-01  0.5259890093    
         2 -0.7628742997E-01  0.7628742997E-01 -0.7628742997E-01   2.085467788      0.2827645163     -0.5294587607      0.4647917955E-01
         3 -0.1525748599      0.1525748599     -0.1525748599       1.102968547     -0.3575081821      0.2420832884     -0.6667703343    
         3 -0.1525748599      0.1525748599     -0.1525748599       1.102968596     -0.4867374255      0.6021600685     -0.1774714240    
