# Written on  8Apr2024 at 15:14:36 
# Input file comment: k-mesh for interpolation of mp-23155
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)      EnergyDer_x       EnergyDer_y       EnergyDer_z
         1   0.000000000       0.000000000       0.000000000      -4.393206328     -0.7615633556E-05  0.1290140887E-04 -0.7696124912E-05
         1   0.000000000       0.000000000       0.000000000      -4.393206171      0.6153670844E-05  0.6964442148E-05 -0.1444826448E-04
         1   0.000000000       0.000000000       0.000000000      -4.393205782     -0.3080710625E-05  0.9636344226E-05 -0.4001301094E-05
         2 -0.8368181101E-01  0.8368181101E-01 -0.8368181101E-01  -4.460786924      0.5239809294     -0.5239754165      0.5239870426    
         2 -0.8368181101E-01  0.8368181101E-01 -0.8368181101E-01  -4.399855273      0.4207090506E-01 -0.1083987414      0.5551089890E-02
         2 -0.8368181101E-01  0.8368181101E-01 -0.8368181101E-01  -4.399853526      0.6194834677E-01  0.4401292688E-02  0.9845714277E-01
         3 -0.1673636220      0.1673636220     -0.1673636220      -4.643253460      0.8953557837     -0.8953508172      0.8953546396    
         3 -0.1673636220      0.1673636220     -0.1673636220      -4.418378359      0.1041104734      0.1416463392E-02  0.1760211770    
         3 -0.1673636220      0.1673636220     -0.1673636220      -4.418377512      0.8169974729E-01 -0.1872157654      0.9767481173E-02
         4 -0.2510454330      0.2510454330     -0.2510454330      -4.891425843       1.043558147      -1.043549167       1.043562947    
         4 -0.2510454330      0.2510454330     -0.2510454330      -4.444863409      0.3733886378E-01 -0.2183520546      0.8753972007E-01
         4 -0.2510454330      0.2510454330     -0.2510454330      -4.444861724      0.1914785826     -0.1044057079E-01  0.1412953746    
         5 -0.3347272558      0.3347272558     -0.3347272558      -5.149224474      0.9779380534     -0.9779297466      0.9779240257    
         5 -0.3347272558      0.3347272558     -0.3347272558      -4.473879578     -0.9469336618E-02 -0.1260268728      0.2220428037    
         5 -0.3347272558      0.3347272558     -0.3347272558      -4.473878569      0.2352201302     -0.9970712140E-01  0.3700322060E-02
         6 -0.4184090668      0.4184090668     -0.4184090668      -5.368416618      0.7449891826     -0.7449783934      0.7449965580    
