# Written on  3Jan2024 at 15:18:10 
# Input file comment: k-mesh for interpolation of mp-23202
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)      EnergyDer_x       EnergyDer_y       EnergyDer_z
         1   0.000000000       0.000000000       0.000000000       2.907249881      0.7692080048E-05  0.2981731547E-04 -0.1710512135E-04
         1   0.000000000       0.000000000       0.000000000       3.615973237     -0.5307421448E-05 -0.1893650343E-05  0.1114960415E-04
         1   0.000000000       0.000000000       0.000000000       3.741044164     -0.1216395504E-04 -0.2948837137E-04 -0.5000531114E-05
         1   0.000000000       0.000000000       0.000000000       4.405978905     -0.2213425822E-05  0.1999674059E-05 -0.1092518000E-04
         1   0.000000000       0.000000000       0.000000000       4.695921743      0.9403124378E-05 -0.9511292966E-06  0.5044916017E-05
         1   0.000000000       0.000000000       0.000000000       5.052487726      0.4695481219E-06  0.1908324275E-04  0.5189791406E-05
         1   0.000000000       0.000000000       0.000000000       5.530649174      0.1019607309E-05 -0.4379863098E-05  0.1653359855E-04
         1   0.000000000       0.000000000       0.000000000       6.380731408      0.1085430968E-05 -0.1382996245E-04 -0.8242433712E-05
         2   0.000000000       0.000000000      0.1083239935       2.898079978     -0.1143301045E-03  0.1346117737E-03 -0.2116274914    
         2   0.000000000       0.000000000      0.1083239935       3.429261727     -0.4781903485E-03 -0.1393673281E-03  -2.840496836    
         2   0.000000000       0.000000000      0.1083239935       3.712311679      0.3396937256E-03 -0.2412101346E-04 -0.4323915683    
         2   0.000000000       0.000000000      0.1083239935       4.568114936      0.9468725328E-03 -0.2573495981E-03   2.364062121    
         2   0.000000000       0.000000000      0.1083239935       4.722732291     -0.1484937654E-03  0.1896041970E-03  0.4900146075    
         2   0.000000000       0.000000000      0.1083239935       5.073456820     -0.1034464101E-03  0.1757846214E-03  0.3790935576    
         2   0.000000000       0.000000000      0.1083239935       5.587085243     -0.1343024435E-03 -0.1891354525E-03   1.004554759    
         2   0.000000000       0.000000000      0.1083239935       6.374152517     -0.3079188936E-03  0.1098579489E-03 -0.9860744638E-01
         3   0.000000000       0.000000000      0.2166480000       2.846733343     -0.3156997422E-04  0.2514681867E-03 -0.7993766730    
         3   0.000000000       0.000000000      0.2166480000       3.094967323     -0.8596767273E-04 -0.2533158153E-03  -3.112591863    
         3   0.000000000       0.000000000      0.2166480000       3.681235589      0.1802977356E-04 -0.1296579365E-03  0.2325582602E-01
         3   0.000000000       0.000000000      0.2166480000       4.799870338      0.1867477711E-03  0.1538436623E-03  0.9184452917    
         3   0.000000000       0.000000000      0.2166480000       4.813853884     -0.9240265632E-04 -0.8605980945E-04   1.888046952    
         3   0.000000000       0.000000000      0.2166480000       5.131075151      0.1078722619E-03  0.1636625726E-03  0.6597959886    
         3   0.000000000       0.000000000      0.2166480000       5.736110075     -0.4723883442E-04 -0.1547174491E-03   1.686851587    
         3   0.000000000       0.000000000      0.2166480000       6.370118974     -0.5525328581E-04  0.5467978656E-04  0.9916567131E-01
         4   0.000000000       0.000000000      0.3249719935       2.724093064     -0.2074847066E-03  0.1455226075E-03  -1.399060505    
         4   0.000000000       0.000000000      0.3249719935       2.781997969      0.3252230820E-03 -0.7492773082E-04  -2.591332361    
         4   0.000000000       0.000000000      0.3249719935       3.738552307     -0.3252750764E-03 -0.3340069073E-04   1.049434510    
         4   0.000000000       0.000000000      0.3249719935       4.916965503      0.3860983250E-03 -0.4856616687E-04   1.214980289    
         4   0.000000000       0.000000000      0.3249719935       4.936702639     -0.1107722250E-02 -0.1246974024E-03  0.2809409824    
         4   0.000000000       0.000000000      0.3249719935       5.209095920      0.4366950802E-03 -0.8347528038E-04  0.7385018482    
         4   0.000000000       0.000000000      0.3249719935       5.941215861      0.8401814807E-04  0.9514308436E-04   2.055593476    
         4   0.000000000       0.000000000      0.3249719935       6.411789962      0.4093398591E-03  0.1246743163E-03  0.7085036424    
         5   0.000000000       0.000000000      0.4332959870       2.544562813      0.6240850274E-03  0.2607312441E-05  -1.758516479    
         5   0.000000000       0.000000000      0.4332959870       2.565152896      0.1542092760E-03  0.1064450620E-03  -1.432149705    
         5   0.000000000       0.000000000      0.4332959870       3.900842139     -0.3792048801E-03 -0.2349869863E-04   1.890351512    
         5   0.000000000       0.000000000      0.4332959870       4.874735394     -0.8659122175E-03 -0.1758482770E-04  -1.339030117    
         5   0.000000000       0.000000000      0.4332959870       5.055375071     -0.2806696385E-03 -0.1277661409E-03   1.297799540    
         5   0.000000000       0.000000000      0.4332959870       5.280500210     -0.2623406851E-03 -0.8174877891E-04  0.5272390130    
         5   0.000000000       0.000000000      0.4332959870       6.172081168      0.4713200836E-03  0.1726592771E-03   2.158909582    
         5   0.000000000       0.000000000      0.4332959870       6.513342425      0.5384867139E-03 -0.3153243991E-04   1.028758966    
         6   0.000000000       0.000000000      0.5416199935       2.405598923      0.8594101104E-03 -0.6088640177E-04 -0.7980927799    
         6   0.000000000       0.000000000      0.5416199935       2.432603598      0.4803038798E-04  0.4050885072E-04 -0.9470611989    
         6   0.000000000       0.000000000      0.5416199935       4.135812869     -0.3494752873E-03 -0.3505381629E-04   2.393058374    
         6   0.000000000       0.000000000      0.5416199935       4.672748636     -0.4836471936E-03  0.2346476729E-04  -2.265960170    
         6   0.000000000       0.000000000      0.5416199935       5.187652026     -0.7451625750E-03  0.1676918613E-04   1.092691883    
         6   0.000000000       0.000000000      0.5416199935       5.312621283     -0.7357708429E-03 -0.2466088162E-04  0.2593275520E-01
         6   0.000000000       0.000000000      0.5416199935       6.395535423      0.9793602899E-03  0.3903189978E-04   1.884657307    
         6   0.000000000       0.000000000      0.5416199935       6.595138682      0.4267277283E-03 -0.4354166548E-06  0.3051190237    
         7   0.000000000       0.000000000      0.6499439870       2.371185307     -0.3316970276E-04 -0.5483745152E-04  0.4684928989E-02
         7   0.000000000       0.000000000      0.6499439870       2.371187169      0.8927821434E-05  0.6508801491E-04 -0.4692457901E-02
         7   0.000000000       0.000000000      0.6499439870       4.407014161     -0.8149564569E-05 -0.6538401891E-04  0.3286745500E-01
         7   0.000000000       0.000000000      0.6499439870       4.407017384      0.5028111214E-05  0.7953665007E-04 -0.3287973131E-01
         7   0.000000000       0.000000000      0.6499439870       5.281496910     -0.3626826818E-05 -0.1108081469E-04 -0.3871806017E-03
         7   0.000000000       0.000000000      0.6499439870       5.281497716      0.2139374930E-05  0.2811100885E-05  0.4002160908E-03
         7   0.000000000       0.000000000      0.6499439870       6.557763282      0.2328814610E-04 -0.5513798496E-04 -0.1961139355E-01
         7   0.000000000       0.000000000      0.6499439870       6.557766347      0.5097636709E-05  0.4025699520E-04  0.1962771600E-01
         8   0.000000000       0.000000000      0.7582679805       2.405599036     -0.8308225762E-03  0.6609951368E-04  0.7980980179    
         8   0.000000000       0.000000000      0.7582679805       2.432603797     -0.2970093133E-04 -0.4236725081E-04  0.9470757233    
         8   0.000000000       0.000000000      0.7582679805       4.135812928      0.3637277510E-03  0.9625166805E-05  -2.393045731    
         8   0.000000000       0.000000000      0.7582679805       4.672748734      0.4654109934E-03 -0.6241937065E-04   2.265972843    
         8   0.000000000       0.000000000      0.7582679805       5.187652084      0.7436863987E-03 -0.4382150804E-05  -1.092703963    
         8   0.000000000       0.000000000      0.7582679805       5.312621381      0.7390991102E-03  0.2442838701E-04 -0.2594459660E-01
         8   0.000000000       0.000000000      0.7582679805       6.395535649     -0.1012667460E-02 -0.4386954760E-04  -1.884673882    
         8   0.000000000       0.000000000      0.7582679805       6.595138870     -0.4392043692E-03  0.4801822336E-04 -0.3051283419    
         9   0.000000000       0.000000000      0.8665919870       2.544562811     -0.6525049973E-03  0.8836035703E-05   1.758513321    
         9   0.000000000       0.000000000      0.8665919870       2.565152896     -0.1684253592E-03 -0.8348881188E-04   1.432128453    
         9   0.000000000       0.000000000      0.8665919870       3.900842139      0.3536255615E-03  0.1198243365E-04  -1.890363509    
         9   0.000000000       0.000000000      0.8665919870       4.874735395      0.8973444440E-03  0.3223349906E-04   1.339019392    
         9   0.000000000       0.000000000      0.8665919870       5.055375067      0.2844143678E-03  0.1109648692E-03  -1.297788148    
         9   0.000000000       0.000000000      0.8665919870       5.280500214      0.2634840096E-03  0.9358951447E-04 -0.5272281255    
         9   0.000000000       0.000000000      0.8665919870       6.172081170     -0.4403676011E-03 -0.1536844425E-03  -2.158891734    
         9   0.000000000       0.000000000      0.8665919870       6.513342424     -0.5374666750E-03 -0.1812674371E-04  -1.028758370    
        10   0.000000000       0.000000000      0.9749159805       2.724093064      0.2129868815E-03 -0.1832780306E-03   1.399087141    
        10   0.000000000       0.000000000      0.9749159805       2.781997967     -0.2958458034E-03  0.7145066313E-04   2.591330976    
        10   0.000000000       0.000000000      0.9749159805       3.738552307      0.3548151430E-03  0.6236160091E-04  -1.049425267    
        10   0.000000000       0.000000000      0.9749159805       4.916965503     -0.3966199611E-03  0.6424724172E-04  -1.214991925    
        10   0.000000000       0.000000000      0.9749159805       4.936702638      0.1067696106E-02  0.1148433567E-03 -0.2809340744    
        10   0.000000000       0.000000000      0.9749159805       5.209095918     -0.4351568298E-03  0.6045840102E-04 -0.7385132409    
        10   0.000000000       0.000000000      0.9749159805       5.941215860     -0.1108809883E-03 -0.1155691842E-03  -2.055615969    
        10   0.000000000       0.000000000      0.9749159805       6.411789953     -0.3964125819E-03 -0.7510570430E-04 -0.7084975681    
        11   0.000000000       0.000000000       1.083239974       2.846733341      0.3847681802E-04 -0.1927032666E-03  0.7993442406    
        11   0.000000000       0.000000000       1.083239974       3.094967317      0.6109597996E-04  0.2547920040E-03   3.112598958    
        11   0.000000000       0.000000000       1.083239974       3.681235589     -0.5017979258E-04  0.8047265052E-04 -0.2326323183E-01
        11   0.000000000       0.000000000       1.083239974       4.799870337     -0.1696121242E-03 -0.1638622809E-03 -0.9184332963    
        11   0.000000000       0.000000000       1.083239974       4.813853880      0.1185322685E-03  0.8365163099E-04  -1.888053496    
        11   0.000000000       0.000000000       1.083239974       5.131075150     -0.1116140216E-03 -0.1330017963E-03 -0.6597842879    
        11   0.000000000       0.000000000       1.083239974       5.736110073      0.6747530215E-04  0.1609643698E-03  -1.686824845    
